Observation,Time,Polarization Angle,Wavelength
processed/N1617165846._RC.cub,"2009-090T04:03:12.759
",120,619
processed/N1684255856._RC.cub,"2011-136T16:02:06.976
",120,750
processed/N1579532992._RC.cub,"2008-020T14:32:46.604
",60,343
processed/N1571476494._RC.cub,"2007-292T08:39:29.508
",120,569
processed/N1684428501._RC.cub,"2011-138T15:59:26.844
",0,750
processed/N1617165878._RC.cub,"2009-090T04:03:44.759
",60,619
processed/N1617165910._RC.cub,"2009-090T04:04:16.758
",0,619
processed/N1684255950._RC.cub,"2011-136T16:03:36.980
",IR 0,750
processed/N1579533096._RC.cub,"2008-020T14:34:20.612
",0,343
processed/N1617165974._RC.cub,"2009-090T04:05:17.558
",120,750
processed/N1579533200._RC.cub,"2008-020T14:36:04.611
",0,441
processed/N1571476527._RC.cub,"2007-292T08:40:02.512
",60,569
processed/N1684428579._RC.cub,"2011-138T16:00:51.851
",60,750
processed/N1617166006._RC.cub,"2009-090T04:05:49.558
",60,750
processed/N1684428657._RC.cub,"2011-138T16:02:06.851
",120,750
processed/N1617166038._RC.cub,"2009-090T04:06:21.557
",0,750
processed/N1703583460._RC.cub,"2011-360T08:46:51.654
",60,750
processed/N1579533304._RC.cub,"2008-020T14:37:48.610
",60,441
processed/N1571476560._RC.cub,"2007-292T08:40:35.512
",0,569
processed/N1579533408._RC.cub,"2008-020T14:39:32.609
",120,441
processed/N1703583538._RC.cub,"2011-360T08:48:06.654
",120,750
processed/N1617166102._RC.cub,"2009-090T04:07:25.557
",120,727
processed/N1704678793._RC.cub,"2012-008T01:02:17.724
",0,750
processed/N1579533425._RC.cub,"2008-020T14:40:43.813
",120,569
processed/N1571476681._RC.cub,"2007-292T08:42:30.315
",0,619
processed/N1617166134._RC.cub,"2009-090T04:07:57.557
",60,727
processed/N1704678871._RC.cub,"2012-008T01:03:35.724
",60,750
processed/N1579533480._RC.cub,"2008-020T14:41:38.813
",60,569
processed/N1571476729._RC.cub,"2007-292T08:43:18.314
",60,619
processed/N1617166166._RC.cub,"2009-090T04:08:29.557
",0,727
processed/N1704678949._RC.cub,"2012-008T01:04:53.723
",120,750
processed/W1481629340._RC.cub,"2004-348T11:16:20.240
",0,939
processed/N1704828194._RC.cub,"2012-009T18:32:14.779
",0,750
processed/W1481629536._RC.cub,"2004-348T11:19:36.239
",0,939
processed/N1617167200._RC.cub,"2009-090T04:25:38.514
",120,343
processed/N1704828272._RC.cub,"2012-009T18:33:35.779
",60,750
processed/W1481629634._RC.cub,"2004-348T11:21:14.238
",0,939
processed/W1481629732._RC.cub,"2004-348T11:22:52.237
",0,939
processed/N1704828350._RC.cub,"2012-009T18:34:53.778
",120,750
processed/N1579533535._RC.cub,"2008-020T14:42:33.612
",0,569
processed/W1481629830._RC.cub,"2004-348T11:24:30.237
",0,939
processed/N1617167240._RC.cub,"2009-090T04:26:18.514
",60,343
processed/N1705059556._RC.cub,"2012-012T10:48:18.315
",0,750
processed/W1481629928._RC.cub,"2004-348T11:26:08.236
",0,939
processed/N1579533605._RC.cub,"2008-020T14:43:37.416
",0,619
processed/N1705059650._RC.cub,"2012-012T10:49:45.319
",60,750
processed/N1617167280._RC.cub,"2009-090T04:26:58.513
",0,343
processed/W1481630026._RC.cub,"2004-348T11:27:46.235
",0,939
processed/N1705059728._RC.cub,"2012-012T10:51:07.322
",120,750
processed/W1490962765._RC.cub,"2005-090T11:51:40.748
",90,939
processed/N1579533675._RC.cub,"2008-020T14:44:47.415
",60,619
processed/N1617167336._RC.cub,"2009-090T04:28:01.325
",120,441
processed/N1705145972._RC.cub,"2012-013T10:48:26.761
",0,750
processed/W1490964137._RC.cub,"2005-090T12:14:32.739
",90,939
processed/N1705146050._RC.cub,"2012-013T10:49:51.768
",60,750
processed/N1639306092._RC.cub,"2009-346T10:04:47.929
",IR 0,51
processed/W1490963097._RC.cub,"2005-090T11:56:46.746
",0,939
processed/N1705146128._RC.cub,"2012-013T10:51:06.767
",120,750
processed/N1617167368._RC.cub,"2009-090T04:28:33.325
",60,441
processed/W1490964487._RC.cub,"2005-090T12:19:56.737
",0,939
processed/N1705232373._RC.cub,"2012-014T10:48:27.214
",0,750
processed/W1490966563._RC.cub,"2005-090T12:54:32.723
",0,939
processed/N1579533745._RC.cub,"2008-020T14:45:57.415
",120,619
